"head,relation",,tail
焦虑症,症状,心悸
焦虑症,症状,出汗
焦虑症,症状,呼吸急促
焦虑症,症状,紧张
焦虑症,症状,注意力下降
焦虑症,症状,坐立不安
焦虑症,症状,睡眠困难
焦虑症,症状,易怒
焦虑症,症状,肌肉紧张
焦虑症,症状,头晕
,,
焦虑症,推荐疗法,认知行为疗法
焦虑症,推荐疗法,暴露疗法
焦虑症,推荐疗法,正念疗法
焦虑症,推荐疗法,放松训练
焦虑症,推荐疗法,呼吸训练
焦虑症,推荐疗法,接纳承诺疗法
焦虑症,推荐疗法,团体心理治疗
焦虑症,推荐疗法,心理教育
,,
焦虑症,相关认知偏差,灾难化思维
焦虑症,相关认知偏差,威胁放大
焦虑症,相关认知偏差,选择性注意
焦虑症,相关认知偏差,过度概括
焦虑症,相关认知偏差,消极预测
,,
压力,诱因,焦虑症
考试压力,诱因,焦虑症
社交压力,诱因,焦虑症
工作压力,诱因,焦虑症
家庭冲突,诱因,焦虑症
睡眠不足,诱因,焦虑症
长期疲劳,诱因,焦虑症
,,
焦虑症,可能导致,失眠
焦虑症,可能导致,注意力下降
焦虑症,可能导致,回避行为
焦虑症,可能导致,社交退缩
焦虑症,可能导致,学习效率下降
,,
社交焦虑症,症状,回避社交
社交焦虑症,症状,脸红
社交焦虑症,症状,出汗
社交焦虑症,症状,害怕评价
,,
社交焦虑症,推荐疗法,暴露疗法
社交焦虑症,推荐疗法,认知行为疗法
社交焦虑症,推荐疗法,社交技能训练
,,
社交焦虑症,相关认知偏差,读心术思维
社交焦虑症,相关认知偏差,负性自我评价
抑郁症,症状,情绪低落
抑郁症,症状,兴趣缺失
抑郁症,症状,疲劳
抑郁症,症状,睡眠障碍
抑郁症,症状,食欲下降
抑郁症,症状,注意力下降
抑郁症,症状,自我否定
抑郁症,症状,绝望感
抑郁症,症状,动作迟缓
抑郁症,症状,社交退缩
,,
抑郁症,推荐疗法,认知行为疗法
抑郁症,推荐疗法,行为激活疗法
抑郁症,推荐疗法,人际心理治疗
抑郁症,推荐疗法,正念疗法
抑郁症,推荐疗法,心理动力学治疗
抑郁症,推荐疗法,支持性心理治疗
,,
抑郁症,相关认知偏差,过度概括
抑郁症,相关认知偏差,非黑即白思维
抑郁症,相关认知偏差,灾难化思维
抑郁症,相关认知偏差,自我贬低
抑郁症,相关认知偏差,负性过滤
,,
长期压力,诱因,抑郁症
社会孤立,诱因,抑郁症
失业,诱因,抑郁症
重大失败,诱因,抑郁症
亲密关系破裂,诱因,抑郁症
慢性疾病,诱因,抑郁症
,,
抑郁症,可能导致,失眠
抑郁症,可能导致,食欲改变
抑郁症,可能导致,注意力下降
抑郁症,可能导致,工作效率下降
抑郁症,可能导致,自我隔离
,,
重度抑郁症,症状,绝望感
重度抑郁症,症状,自我价值感下降
重度抑郁症,症状,情绪麻木
,,
重度抑郁症,推荐疗法,认知行为疗法
重度抑郁症,推荐疗法,人际心理治疗
重度抑郁症,推荐疗法,心理支持治疗
失眠,症状,入睡困难
失眠,症状,早醒
失眠,症状,睡眠浅
失眠,症状,夜间觉醒
失眠,症状,白天疲劳
失眠,症状,注意力下降
失眠,症状,情绪烦躁
,,
失眠,推荐疗法,CBT-I
失眠,推荐疗法,正念冥想
失眠,推荐疗法,睡眠限制疗法
失眠,推荐疗法,刺激控制疗法
失眠,推荐疗法,放松训练
失眠,推荐疗法,呼吸训练
,,
压力,诱因,失眠
焦虑症,诱因,失眠
抑郁症,诱因,失眠
作息紊乱,诱因,失眠
电子设备使用过多,诱因,失眠
,,
失眠,可能导致,疲劳
失眠,可能导致,情绪不稳定
失眠,可能导致,注意力下降
失眠,可能导致,学习效率下降
创伤后应激障碍,症状,闪回
创伤后应激障碍,症状,噩梦
创伤后应激障碍,症状,情绪麻木
创伤后应激障碍,症状,警觉性过高
创伤后应激障碍,症状,易怒
创伤后应激障碍,症状,回避行为
,,
创伤后应激障碍,推荐疗法,暴露疗法
创伤后应激障碍,推荐疗法,认知处理疗法
创伤后应激障碍,推荐疗法,眼动脱敏疗法
创伤后应激障碍,推荐疗法,正念疗法
,,
创伤事件,诱因,创伤后应激障碍
战争经历,诱因,创伤后应激障碍
严重事故,诱因,创伤后应激障碍
暴力事件,诱因,创伤后应激障碍
,,
创伤后应激障碍,可能导致,睡眠障碍
创伤后应激障碍,可能导致,焦虑
创伤后应激障碍,可能导致,社交回避
认知行为疗法,包含技术,认知重构
认知行为疗法,包含技术,行为实验
认知行为疗法,包含技术,行为激活
认知行为疗法,包含技术,暴露训练
认知行为疗法,包含技术,情绪记录
,,
正念疗法,包含技术,呼吸觉察
正念疗法,包含技术,身体扫描
正念疗法,包含技术,正念冥想
正念疗法,包含技术,情绪观察
,,
暴露疗法,包含技术,系统脱敏
暴露疗法,包含技术,渐进暴露
暴露疗法,包含技术,情境暴露
,,
行为疗法,包含技术,强化训练
行为疗法,包含技术,习惯逆转训练
,,
心理教育,作用,提高心理认知
心理教育,作用,改善应对策略
心理教育,作用,减少心理误解
